Seed,Density,Execution Time,Path Length,Visited,,,,,,,,Computational
393,0.4595,15.07973671,100,2204,,,,,,,,146.156398
394,0.4275,16.02077484,90,2338,,,,,,,,145.9355133
395,0.361,19.54317093,94,2825,,,,,,,,144.5517726
397,0.3735,16.55101776,90,2376,,,,,,,,143.5561265
398,0.3575,19.71125603,94,2860,,,,,,,,145.0947619
399,0.4215,19.500494,92,2813,,,,,,,,144.2527559
400,0.3645,22.15981483,94,3176,,,,,,,,143.3224972
403,0.3815,14.3404007,90,2081,,,,,,,,145.1144946
404,0.4195,16.94011688,92,2464,,,,,,,,145.4535419
406,0.368,17.39358902,90,2515,,,,,,,,144.5935049
408,0.4795,11.87849045,96,1747,,,,,,,,147.07256
409,0.446,18.89634132,92,2717,,,,,,,,143.7844477
410,0.4125,17.71998405,90,2595,,,,,,,,146.4448271
411,0.485,16.75844193,90,2403,,,,,,,,143.3904184
412,0.483,17.31753349,92,2531,,,,,,,,146.152453
414,0.4285,14.83678818,90,2027,,,,,,,,136.6198651
416,0.4485,16.81089401,90,2372,,,,,,,,141.0989801
419,0.53,17.44651794,96,2488,,,,,,,,142.6072531
420,0.417,18.30911636,92,2510,,,,,,,,137.0901769
422,0.36,18.61691475,92,2630,,,,,,,,141.2693798
425,0.355,19.58703995,94,2792,,,,,,,,142.543233
430,0.4235,16.79158211,92,2403,,,,,,,,143.1074204
437,0.3995,18.82505417,92,2694,,,,,,,,143.1071579
440,0.4145,13.54670525,90,1961,,,,,,,,144.758446
443,0.402,17.33708382,92,2516,,,,,,,,145.1224454
446,0.3835,13.69261742,96,1991,,,,,,,,145.4068232
447,0.4165,11.85083389,92,1743,,,,,,,,147.0782576
448,0.399,18.31030846,90,2590,,,,,,,,141.4503751
450,0.3945,16.15285873,90,2262,,,,,,,,140.0371314
451,0.3885,17.79985428,96,2526,,,,,,,,141.9112741
452,0.3815,19.84453201,94,2806,,,,,,,,141.3991521
454,0.3985,19.13380623,94,2654,,,,,,,,138.7073731
455,0.453,16.44515991,90,2285,,,,,,,,138.9466574
456,0.4095,18.22471619,92,2556,,,,,,,,140.2490976
457,0.417,17.54999161,92,2500,,,,,,,,142.4502106
458,0.4065,15.97809792,90,2294,,,,,,,,143.5715322
461,0.4045,19.77682114,94,2832,,,,,,,,143.1979376
462,0.4405,15.58732986,90,2244,,,,,,,,143.963079
463,0.5945,17.16995239,92,2492,,,,,,,,145.1372691
469,0.4185,20.16091347,92,2890,,,,,,,,143.3466794
474,0.372,15.0551796,92,2178,,,,,,,,144.6678192
475,0.527,18.36013794,100,2685,,,,,,,,146.2407313
476,0.3955,22.19152451,96,3188,,,,,,,,143.6584494
477,0.439,15.58470726,92,2272,,,,,,,,145.7839382
478,0.401,25.4137516,100,3700,,,,,,,,145.5904684
479,0.381,21.21949196,92,3052,,,,,,,,143.8300222
480,0.338,16.5810585,96,2402,,,,,,,,144.864093
482,0.395,19.03367043,96,2734,,,,,,,,143.6401881
483,0.37,16.06559753,96,2348,,,,,,,,146.1508043
484,0.4,17.49253273,92,2555,,,,,,,,146.062325
485,0.421,20.4668045,96,2920,,,,,,,,142.670049
486,0.428,18.45026016,92,2670,,,,,,,,144.7134066
488,0.554,17.75455475,90,2592,,,,,,,,145.990707
489,0.3585,21.82793617,94,3173,,,,,,,,145.3641781
491,0.348,16.97468758,92,2439,,,,,,,,143.6845296
494,0.3885,16.22128487,90,2325,,,,,,,,143.3301997
497,0.393,17.84062386,94,2542,,,,,,,,142.4838066
499,0.419,22.08757401,98,3106,,,,,,,,140.6220529
500,0.369,19.09518242,98,2807,,,,,,,,147.0004286
501,0.4175,22.42183685,108,3377,,,,,,,,150.612103
502,0.525,17.82298088,90,2634,,,,,,,,147.7867265
503,0.339,25.68840981,94,3821,,,,,,,,148.7441234
504,0.439,17.33136177,90,2561,,,,,,,,147.7668076
505,0.361,19.93346214,92,2920,,,,,,,,146.4873477
507,0.407,16.0381794,90,2273,,,,,,,,141.7243157
508,0.352,21.87204361,92,3033,,,,,,,,138.6701697
509,0.3675,13.879776,100,1977,,,,,,,,142.4374572
510,0.3845,18.50676537,96,2607,,,,,,,,140.8674043
511,0.415,26.99565887,98,3838,,,,,,,,142.1710068
513,0.389,16.11304283,94,2311,,,,,,,,143.4241828
517,0.3445,19.74344254,92,2770,,,,,,,,140.2997473
519,0.403,11.64031029,90,1752,,,,,,,,150.5114517
521,0.3945,18.6316967,94,2743,,,,,,,,147.2222334
523,0.3625,19.84381676,94,2919,,,,,,,,147.0987177
524,0.363,19.48475838,92,2874,,,,,,,,147.4999045
526,0.4305,13.98873329,90,2086,,,,,,,,149.1200066
528,0.4375,15.66982269,92,2343,,,,,,,,149.5230703
530,0.3675,17.72928238,90,2611,,,,,,,,147.2704842
532,0.417,21.19708061,92,2914,,,,,,,,137.471761
533,0.3775,12.66407967,90,1929,,,,,,,,152.3205831
534,0.46,15.27070999,90,2095,,,,,,,,137.1907397
535,0.4535,18.34774017,96,2648,,,,,,,,144.3229507
536,0.4925,15.35725594,90,2182,,,,,,,,142.0826747
538,0.3825,17.92287827,90,2505,,,,,,,,139.7654976
540,0.491,17.19760895,90,2421,,,,,,,,140.7753838
544,0.521,18.75805855,100,2784,,,,,,,,148.4162123
545,0.371,21.5306282,96,3156,,,,,,,,146.5818819
546,0.588,11.02566719,90,1658,,,,,,,,150.3763873
549,0.394,13.28110695,90,1963,,,,,,,,147.8039449
551,0.3795,15.12479782,90,2193,,,,,,,,144.9936737
552,0.3555,20.99919319,98,3106,,,,,,,,147.9104446
553,0.466,14.75548744,90,2157,,,,,,,,146.1829037
554,0.4375,13.57221603,98,2027,,,,,,,,149.349229
555,0.4375,14.5611763,90,2161,,,,,,,,148.4083398
557,0.3725,19.95491982,96,2934,,,,,,,,147.0314101
558,0.4525,11.55567169,94,1718,,,,,,,,148.6715828
561,0.4375,18.5008049,92,2667,,,,,,,,144.1558902
562,0.341,16.63208008,90,2457,,,,,,,,147.7265615
563,0.6465,14.07885551,90,2100,,,,,,,,149.1598517
564,0.4075,18.30554008,90,2671,,,,,,,,145.9121112
565,0.364,19.91987228,92,2669,,,,,,,,133.9868029
566,0.375,16.83402061,92,2405,,,,,,,,142.8654542
567,0.39,21.2123394,92,2972,,,,,,,,140.1071303
568,0.5555,10.54406166,96,1510,,,,,,,,143.2085707
569,0.38,15.22135735,90,2179,,,,,,,,143.1541189
573,0.469,14.01114464,98,2024,,,,,,,,144.4564346
574,0.3635,20.94173431,90,2938,,,,,,,,140.2940156
575,0.4385,23.14281464,114,3370,,,,,,,,145.6175514
576,0.375,19.1617012,92,2806,,,,,,,,146.4379374
577,0.436,13.63968849,92,2024,,,,,,,,148.3904857
579,0.451,16.47281647,94,2417,,,,,,,,146.7265786
584,0.359,18.17107201,90,2661,,,,,,,,146.4415527
585,0.438,19.89126205,92,2911,,,,,,,,146.3456664
586,0.36,18.82553101,92,2735,,,,,,,,145.2814265
588,0.387,13.692379,92,2009,,,,,,,,146.723955
591,0.4185,22.48382568,96,3299,,,,,,,,146.7276987
594,0.4505,15.1143074,90,2243,,,,,,,,148.4024336
596,0.3555,12.7055645,92,1902,,,,,,,,149.6981893
598,0.4115,16.22796059,94,2430,,,,,,,,149.7415517
599,0.418,17.63820648,92,2625,,,,,,,,148.8246553
601,0.3865,17.36783981,92,2593,,,,,,,,149.2989358
602,0.428,16.69621468,90,2501,,,,,,,,149.7944323
603,0.424,18.32890511,90,2678,,,,,,,,146.1080181
605,0.3645,16.04866982,90,2382,,,,,,,,148.4235159
606,0.382,18.69106293,94,2745,,,,,,,,146.8616317
609,0.3885,16.71671867,90,2483,,,,,,,,148.5339347
611,0.447,19.44637299,98,2849,,,,,,,,146.5054692
612,0.376,20.14827728,92,2955,,,,,,,,146.662663
614,0.4615,15.147686,92,2240,,,,,,,,147.8773722
618,0.3935,17.49205589,90,2559,,,,,,,,146.2949819
622,0.385,19.94490623,96,2910,,,,,,,,145.9019143
623,0.401,15.41543007,90,2317,,,,,,,,150.303948
626,0.4235,21.09527588,96,3087,,,,,,,,146.336081
627,0.424,18.07260513,90,2599,,,,,,,,143.808819
630,0.4445,20.64037323,90,2783,,,,,,,,134.8328332
631,0.397,20.45297623,94,3064,,,,,,,,149.8070484
632,0.421,18.28384399,90,2657,,,,,,,,145.319551
635,0.3385,19.68550682,90,2794,,,,,,,,141.9318296
636,0.36,17.44890213,90,2531,,,,,,,,145.0521059
638,0.4745,12.33148575,94,1809,,,,,,,,146.6976516
642,0.3545,19.16074753,92,2912,,,,,,,,151.9773691
643,0.393,13.79680634,90,2093,,,,,,,,151.7017742
644,0.4905,16.93987846,92,2428,,,,,,,,143.3304262
647,0.3775,22.7124691,92,3391,,,,,,,,149.3012488
649,0.571,16.68715477,96,2524,,,,,,,,151.2540655
650,0.464,16.18623734,90,2414,,,,,,,,149.1390463
654,0.3515,17.3933506,90,2580,,,,,,,,148.3325473
655,0.3665,18.38183403,92,2684,,,,,,,,146.0137218
657,0.3675,16.22486115,90,2394,,,,,,,,147.5513398
659,0.4795,17.58980751,100,2585,,,,,,,,146.9601074
662,0.3445,19.60277557,92,2836,,,,,,,,144.6733902
663,0.3935,18.7702179,96,2767,,,,,,,,147.4143782
664,0.426,19.91343498,100,2921,,,,,,,,146.684889
666,0.528,18.37682724,100,2772,,,,,,,,150.8421429
668,0.3585,16.20769501,94,2408,,,,,,,,148.5714038
670,0.3995,13.88812065,94,2071,,,,,,,,149.1202483
671,0.406,16.03031158,92,2390,,,,,,,,149.0925481
674,0.4155,14.61100578,90,2148,,,,,,,,147.0124667
677,0.3895,16.23082161,90,2363,,,,,,,,145.5872079
678,0.3895,17.99082756,94,2633,,,,,,,,146.352356
680,0.4205,18.14031601,96,2628,,,,,,,,144.8706846
682,0.3885,14.48988914,92,2152,,,,,,,,148.5173544
683,0.3895,17.02904701,94,2502,,,,,,,,146.9254268
684,0.531,19.13022995,94,2810,,,,,,,,146.8879364
685,0.479,15.94018936,92,2380,,,,,,,,149.3081385
688,0.3975,18.71299744,92,2772,,,,,,,,148.1323347
689,0.359,13.98730278,90,2052,,,,,,,,146.7044814
690,0.392,15.22731781,106,2228,,,,,,,,146.3159847
691,0.3895,17.35973358,92,2608,,,,,,,,150.2327203
693,0.361,20.67160606,96,2986,,,,,,,,144.4493472
694,0.396,15.88726044,92,2360,,,,,,,,148.5466931
697,0.3645,17.05861092,90,2526,,,,,,,,148.0777076
698,0.3765,15.41686058,92,2275,,,,,,,,147.5657115
699,0.441,17.37070084,98,2506,,,,,,,,144.2659121
700,0.388,14.36853409,92,2137,,,,,,,,148.7277677
701,0.358,15.99359512,90,2380,,,,,,,,148.8095692
703,0.3355,19.01054382,92,2778,,,,,,,,146.1294336
705,0.365,16.46566391,96,2429,,,,,,,,147.5191048
708,0.361,28.0725956,104,4182,,,,,,,,148.970906
709,0.343,14.78648186,92,2197,,,,,,,,148.5816586
711,0.4005,16.96896553,90,2544,,,,,,,,149.9207477
712,0.4045,21.24977112,98,3100,,,,,,,,145.8839242
713,0.428,18.44930649,94,2724,,,,,,,,147.6478263
714,0.3895,15.52176476,90,2293,,,,,,,,147.7280474
716,0.3965,18.87440681,94,2746,,,,,,,,145.488016
717,0.55,12.94994354,100,1890,,,,,,,,145.9465823
719,0.408,24.45697784,100,3627,,,,,,,,148.3012343
720,0.48,13.32235336,102,2007,,,,,,,,150.6490592
726,0.4425,16.55244827,90,2465,,,,,,,,148.9205681
728,0.4375,21.7666626,94,3201,,,,,,,,147.0597518
729,0.369,26.40628815,96,3914,,,,,,,,148.2222711
731,0.381,17.79103279,90,2655,,,,,,,,149.2324831
732,0.409,16.83211327,90,2513,,,,,,,,149.2979497
733,0.467,14.42480087,94,2128,,,,,,,,147.5237003
734,0.4445,10.51664352,92,1567,,,,,,,,149.0019127
738,0.376,14.1119957,90,2074,,,,,,,,146.967165
740,0.398,16.57271385,90,2424,,,,,,,,146.2645178
743,0.725,13.60988617,116,2058,,,,,,,,151.2136086
744,0.4145,16.289711,90,2418,,,,,,,,148.4372559
746,0.3525,17.52495766,92,2604,,,,,,,,148.5880908
748,0.451,16.57867432,96,2456,,,,,,,,148.1421224
749,0.4315,18.01156998,100,2699,,,,,,,,149.8481256
750,0.362,16.4744854,90,2445,,,,,,,,148.4113124
751,0.3765,18.13101768,90,2637,,,,,,,,145.4413672
753,0.346,17.02022552,90,2388,,,,,,,,140.3036638
756,0.4095,15.98525047,90,2394,,,,,,,,149.7630584
758,0.3975,16.29662514,94,2408,,,,,,,,147.7606547
759,0.4025,18.90277863,92,2769,,,,,,,,146.4864004
761,0.519,12.16769218,90,1818,,,,,,,,149.4120638
764,0.3305,13.61918449,90,2020,,,,,,,,148.3201877
765,0.367,16.9301033,90,2526,,,,,,,,149.2016886
767,0.3985,16.17097855,92,2414,,,,,,,,149.2797726
768,0.3465,18.06998253,96,2652,,,,,,,,146.7627318
769,0.404,14.03975487,92,2086,,,,,,,,148.5780927
770,0.401,13.13066483,94,1975,,,,,,,,150.4112721
771,0.4045,21.11983299,98,3125,,,,,,,,147.9651852
772,0.466,14.77575302,92,2259,,,,,,,,152.8856091
774,0.3825,14.14847374,94,2106,,,,,,,,148.8499777
775,0.3805,18.52226257,90,2703,,,,,,,,145.9324955
777,0.363,22.94683456,96,3320,,,,,,,,144.6822651
779,0.363,22.14765549,96,3186,,,,,,,,143.8526982
780,0.376,18.3494091,90,2618,,,,,,,,142.6748941
781,0.395,15.08402824,90,2183,,,,,,,,144.7226142
782,0.372,18.32914352,90,2640,,,,,,,,144.0329166
783,0.3945,18.43714714,92,2643,,,,,,,,143.351896
784,0.539,17.72689819,92,2457,,,,,,,,138.6029284
785,0.404,16.89624786,98,2607,,,,,,,,154.2946115
786,0.4195,15.64836502,96,2375,,,,,,,,151.7730445
788,0.3295,17.39621162,90,2590,,,,,,,,148.88299
789,0.3925,17.25912094,94,2571,,,,,,,,148.9647131
790,0.394,16.90149307,90,2560,,,,,,,,151.4659083
791,0.3715,16.07203484,92,2418,,,,,,,,150.4476579
793,0.3735,14.62078094,100,2176,,,,,,,,148.8292595
794,0.4605,17.10677147,96,2550,,,,,,,,149.0637789
796,0.3815,16.4296627,90,2459,,,,,,,,149.6683191
797,0.3695,19.323349,94,2832,,,,,,,,146.558446
798,0.3265,19.3271637,90,2822,,,,,,,,146.0121125
801,0.37,17.97938347,90,2631,,,,,,,,146.3342725
802,0.375,27.46152878,96,4015,,,,,,,,146.2045333
803,0.4015,15.9842968,92,2383,,,,,,,,149.0838183
804,0.5655,16.38555527,98,2447,,,,,,,,149.3388512
806,0.405,18.29457283,92,2646,,,,,,,,144.6330573
