Seed,Density,Execution ,Path Length,Visited,min path,max path,min visited,max visited,norm path,norm visited,cost,optimality,time mean,time median,op mean,op median,time stdv,op stdv,Execution Time,, Time
212,0.361,317.4622059,0,46,,,,,0,0.323741007,0.097122302,10.29619028,,,,,,,3.174622059,,26.91221237
215,0.398,289.3404961,3,83,,,,,0.081081081,0.589928058,0.233735174,4.278327923,,,,,,,2.893404961,,15.67769051
219,0.4295,345.489502,0,2,,,,,0,0.007194245,0.002158273,463.118755,,,,,,,3.45489502,,13.64660263
223,0.372,386.0566616,0,79,,,,,0,0.561151079,0.168345324,5.940135655,,,,,,,3.860566616,,17.33183861
224,0.367,381.6902637,0,89,,,,,0,0.633093525,0.189928058,5.265123793,,,,,,,3.816902637,,18.74756813
226,0.4775,418.77985,0,61,,,,,0,0.431654676,0.129496403,7.72216259,,,,,,,4.1877985,,19.37699318
227,0.3985,373.5187054,0,106,,,,,0,0.755395683,0.226618705,4.412678941,,,,,,,3.735187054,,20.15042305
229,0.391,423.9373207,0,8,,,,,0,0.050359712,0.015107914,66.1860953,,,,,,,4.239373207,,17.65823364
230,0.3775,370.4557419,0,63,,,,,0,0.446043165,0.13381295,7.473062432,,,,,,,3.704557419,,18.08929443
231,0.3505,242.34128,27,79,,,,,0.72972973,0.561151079,0.679156135,1.472413303,,,,,,,2.4234128,,17.00353622
232,0.449,531.768322,33,107,,,,,0.891891892,0.762589928,0.853101303,1.172192358,,,,,,,5.31768322,,17.41504669
234,0.3545,275.4659653,19,69,,,,,0.513513514,0.489208633,0.506222049,1.975413805,,,,,,,2.754659653,,15.74921608
235,0.4045,266.5812969,12,66,,,,,0.324324324,0.467625899,0.367314797,2.722453019,,,,,,,2.665812969,,18.59235764
236,0.452,508.9108944,0,92,,,,,0,0.654676259,0.196402878,5.091549168,,,,,,,5.089108944,,18.93091202
238,0.5185,415.050745,12,67,,,,,0.324324324,0.474820144,0.36947307,2.706549879,,,,,,,4.15050745,,15.31243324
239,0.383,407.9761505,0,88,,,,,0,0.625899281,0.187769784,5.325642135,,,,,,,4.079761505,,22.83716202
241,0.4245,417.100668,0,46,,,,,0,0.323741007,0.097122302,10.29619028,,,,,,,4.17100668,,21.18968964
244,0.345,288.5401249,20,95,,,,,0.540540541,0.676258993,0.581256076,1.720409163,,,,,,,2.885401249,,18.63980293
245,0.3785,207.9250813,32,64,,,,,0.864864865,0.45323741,0.741376628,1.348840269,,,,,,,2.079250813,,17.31085777
246,0.4125,438.9946461,0,84,,,,,0,0.597122302,0.179136691,5.582298155,,,,,,,4.389946461,,19.09279823
249,0.3775,223.729372,10,58,,,,,0.27027027,0.410071942,0.312210772,3.20295418,,,,,,,2.23729372,,17.17352867
250,0.378,238.2528782,28,68,,,,,0.756756757,0.482014388,0.674334046,1.482942353,,,,,,,2.382528782,,15.71273804
252,0.379,311.0611439,34,67,,,,,0.918918919,0.474820144,0.785689286,1.272766149,,,,,,,3.110611439,,21.14582062
254,0.3895,309.0693951,6,88,,,,,0.162162162,0.625899281,0.301283298,3.319124188,,,,,,,3.090693951,,12.43519783
256,0.394,401.3178349,0,52,,,,,0,0.366906475,0.110071942,9.084884784,,,,,,,4.013178349,,19.66023445
258,0.367,296.2436676,0,2,,,,,0,0.007194245,0.002158273,463.118755,,,,,,,2.962436676,,15.96355438
259,0.4535,423.2890606,0,94,,,,,0,0.669064748,0.200719424,4.982054032,,,,,,,4.232890606,,17.4472332
260,0.604,496.2656498,0,17,,,,,0,0.115107914,0.034532374,28.95749477,,,,,,,4.962656498,,13.00740242
262,0.4425,411.1485481,0,5,,,,,0,0.028776978,0.008633094,115.8199175,,,,,,,4.111485481,,15.31362534
264,0.4035,398.4668255,0,94,,,,,0,0.669064748,0.200719424,4.982054032,,,,,,,3.984668255,,18.69940758
265,0.382,375.20051,0,54,,,,,0,0.381294964,0.114388489,8.74206194,,,,,,,3.7520051,,14.97650146
269,0.3845,331.9551945,24,78,,,,,0.648648649,0.553956835,0.620241104,1.612273647,,,,,,,3.319551945,,16.77036285
270,0.4295,465.5544758,0,95,,,,,0,0.676258993,0.202877698,4.929053718,,,,,,,4.655544758,,18.87178421
271,0.358,147.3274231,9,54,,,,,0.243243243,0.381294964,0.284658759,3.512965801,,,,,,,1.473274231,,19.06061172
272,0.404,337.8663063,2,70,,,,,0.054054054,0.496402878,0.186758701,5.354474193,,,,,,,3.378663063,,17.51899719
274,0.3755,172.4016666,27,45,,,,,0.72972973,0.316546763,0.60577484,1.650775641,,,,,,,1.724016666,,14.73140717
276,0.5435,515.4862404,0,65,,,,,0,0.460431655,0.138129496,7.239530922,,,,,,,5.154862404,,15.74063301
277,0.4145,417.7236557,0,68,,,,,0,0.482014388,0.144604317,6.915375063,,,,,,,4.177236557,,16.36219025
279,0.3565,357.6328754,0,77,,,,,0,0.54676259,0.164028777,6.096454061,,,,,,,3.576328754,,17.19808578
281,0.389,417.6082611,0,93,,,,,0,0.661870504,0.198561151,5.036206521,,,,,,,4.176082611,,17.68517494
283,0.441,503.1571388,0,110,,,,,0,0.784172662,0.235251799,4.250746457,,,,,,,5.031571388,,20.54738998
288,0.408,290.6959057,16,76,,,,,0.432432432,0.539568345,0.464573206,2.152508655,,,,,,,2.906959057,,20.82180977
289,0.3775,410.4697704,0,117,,,,,0,0.834532374,0.250359712,3.99423692,,,,,,,4.104697704,,17.63415337
291,0.3705,372.8673458,0,90,,,,,0,0.64028777,0.192086331,5.205965407,,,,,,,3.728673458,,27.34661102
292,0.4735,470.8309174,0,90,,,,,0,0.64028777,0.192086331,5.205965407,,,,,,,4.708309174,,15.45166969
293,0.407,269.5448399,25,77,,,,,0.675675676,0.54676259,0.63700175,1.569851936,,,,,,,2.695448399,,22.85790443
295,0.3515,341.8838978,0,110,,,,,0,0.784172662,0.235251799,4.250746457,,,,,,,3.418838978,,16.50452614
297,0.384,380.1395893,23,97,,,,,0.621621622,0.690647482,0.64232938,1.556831238,,,,,,,3.801395893,,16.06631279
298,0.359,372.5469112,0,99,,,,,0,0.705035971,0.211510791,4.727868804,,,,,,,3.725469112,,20.93648911
299,0.4305,438.25984,0,109,,,,,0,0.776978417,0.233093525,4.290105052,,,,,,,4.3825984,,17.69399643
300,0.4,263.2079124,25,67,,,,,0.675675676,0.474820144,0.615419016,1.624906525,,,,,,,2.632079124,,13.67878914
303,0.386,278.2506943,10,67,,,,,0.27027027,0.474820144,0.331635232,3.015352071,,,,,,,2.782506943,,18.95499229
304,0.457,472.5074768,0,59,,,,,0,0.417266187,0.125179856,7.988441931,,,,,,,4.725074768,,20.41983604
305,0.395,386.6467476,0,69,,,,,0,0.489208633,0.14676259,6.813679064,,,,,,,3.866467476,,16.72935486
307,0.4255,461.7695808,0,57,,,,,0,0.402877698,0.120863309,8.273741068,,,,,,,4.617695808,,16.82949066
309,0.4265,348.088026,0,36,,,,,0,0.251798561,0.075539568,13.23791999,,,,,,,3.48088026,,12.04538345
311,0.4335,410.3605747,0,86,,,,,0,0.611510791,0.183453237,5.450950679,,,,,,,4.103605747,,14.05072212
312,0.437,476.7980576,0,103,,,,,0,0.73381295,0.220143885,4.542463026,,,,,,,4.767980576,,20.5321312
319,0.4185,478.6138535,0,114,,,,,0,0.81294964,0.243884892,4.100278173,,,,,,,4.786138535,,17.8964138
321,0.3355,297.9302406,0,71,,,,,0,0.503597122,0.151079137,6.619003808,,,,,,,2.979302406,,18.7330246
323,0.402,394.0405846,0,80,,,,,0,0.568345324,0.170503597,5.864944505,,,,,,,3.940405846,,17.1186924
325,0.3685,218.2590961,24,57,,,,,0.648648649,0.402877698,0.574917363,1.739377386,,,,,,,2.182590961,,18.07975769
329,0.409,473.7386703,0,124,,,,,0,0.884892086,0.265467626,3.76692348,,,,,,,4.737386703,,18.75305176
332,0.377,347.2738266,0,98,,,,,0,0.697841727,0.209352518,4.776609486,,,,,,,3.472738266,,19.45519447
333,0.3565,370.7304001,0,92,,,,,0,0.654676259,0.196402878,5.091549168,,,,,,,3.707304001,,19.84119415
334,0.404,416.759491,0,86,,,,,0,0.611510791,0.183453237,5.450950679,,,,,,,4.16759491,,17.08030701
336,0.3705,224.6866226,8,72,,,,,0.216216216,0.510791367,0.304588761,3.283104446,,,,,,,2.246866226,,15.87510109
337,0.4765,454.6611309,0,89,,,,,0,0.633093525,0.189928058,5.265123793,,,,,,,4.546611309,,16.68643951
340,0.3845,364.4912243,0,19,,,,,0,0.129496403,0.038848921,25.74007817,,,,,,,3.644912243,,16.37411118
342,0.372,392.2781944,0,77,,,,,0,0.54676259,0.164028777,6.096454061,,,,,,,3.922781944,,18.35346222
346,0.3825,358.4420681,0,45,,,,,0,0.316546763,0.094964029,10.53019214,,,,,,,3.584420681,,17.4164772
347,0.4135,390.1767731,0,28,,,,,0,0.194244604,0.058273381,17.16019935,,,,,,,3.901767731,,20.55621147
348,0.5195,295.1791286,5,44,,,,,0.135135135,0.309352518,0.18740035,5.336140855,,,,,,,2.951791286,,15.35487175
349,0.413,337.8968239,0,8,,,,,0,0.050359712,0.015107914,66.1860953,,,,,,,3.378968239,,13.03100586
350,0.3765,371.4232445,0,61,,,,,0,0.431654676,0.129496403,7.72216259,,,,,,,3.714232445,,15.20085335
351,0.4485,408.9417458,0,52,,,,,0,0.366906475,0.110071942,9.084884784,,,,,,,4.089417458,,18.0644989
352,0.423,460.6833458,0,87,,,,,0,0.618705036,0.185611511,5.387567873,,,,,,,4.606833458,,17.17209816
354,0.3635,165.6110287,14,60,,,,,0.378378378,0.424460432,0.392202994,2.549693563,,,,,,,1.656110287,,18.17083359
357,0.3805,383.9070797,0,14,,,,,0,0.09352518,0.028057554,35.6397554,,,,,,,3.839070797,,15.68484306
359,0.4155,394.8249817,0,96,,,,,0,0.683453237,0.205035971,4.877169196,,,,,,,3.948249817,,27.93192863
362,0.3925,373.5570908,0,27,,,,,0,0.18705036,0.056115108,17.82019526,,,,,,,3.735570908,,17.90499687
363,0.4285,236.9451523,16,57,,,,,0.432432432,0.402877698,0.423566012,2.360901514,,,,,,,2.369451523,,15.29145241
364,0.4465,386.7053986,0,6,,,,,0,0.035971223,0.010791367,92.65808035,,,,,,,3.867053986,,14.62554932
368,0.557,528.2161236,0,58,,,,,0,0.410071942,0.123021583,8.128588896,,,,,,,5.282161236,,15.93399048
371,0.522,499.8509884,0,96,,,,,0,0.683453237,0.205035971,4.877169196,,,,,,,4.998509884,,18.11695099
372,0.3585,242.9647446,29,61,,,,,0.783783784,0.431654676,0.678145052,1.474608601,,,,,,,2.429647446,,17.65656471
375,0.3775,349.668026,0,3,,,,,0,0.014388489,0.004316547,231.6130097,,,,,,,3.49668026,,17.33613014
376,0.3765,316.1833286,0,54,,,,,0,0.381294964,0.114388489,8.74206194,,,,,,,3.161833286,,19.33407784
378,0.3725,224.0278721,5,65,,,,,0.135135135,0.460431655,0.232724091,4.296915282,,,,,,,2.240278721,,17.78554916
379,0.3695,352.604866,29,104,,,,,0.783783784,0.741007194,0.770950807,1.297097939,,,,,,,3.52604866,,18.66841316
380,0.456,474.0738869,0,59,,,,,0,0.417266187,0.125179856,7.988441931,,,,,,,4.740738869,,18.18323135
382,0.3395,169.4016457,28,75,,,,,0.756756757,0.532374101,0.68944196,1.450446314,,,,,,,1.694016457,,26.82042122
384,0.492,182.710886,27,43,,,,,0.72972973,0.302158273,0.601458293,1.662622911,,,,,,,1.82710886,,16.01982117
385,0.372,404.22225,0,107,,,,,0,0.762589928,0.228776978,4.371050076,,,,,,,4.0422225,,21.9681263
387,0.371,388.7822628,0,90,,,,,0,0.64028777,0.192086331,5.205965407,,,,,,,3.887822628,,17.64440536
390,0.435,427.1771908,0,22,,,,,0,0.151079137,0.045323741,22.06300528,,,,,,,4.271771908,,19.26517487
392,0.428,488.9874458,0,101,,,,,0,0.71942446,0.215827338,4.633311866,,,,,,,4.889874458,,19.86455917
393,0.4595,398.4205723,0,48,,,,,0,0.338129496,0.101438849,9.858058846,,,,,,,3.984205723,,15.07973671
394,0.4275,373.7435341,0,9,,,,,0,0.057553957,0.017266187,57.91331252,,,,,,,3.737435341,,16.02077484
395,0.361,355.3051949,0,76,,,,,0,0.539568345,0.161870504,6.177739613,,,,,,,3.553051949,,19.54317093
