Seed,Density,Execution Time,Path Length,Visited,min path,max path,min visited,max visited,norm path,norm visited,cost,optimality
1093,0.3785,19.24371719,92,2807,,,,,0.066666667,0.356084528,0.153492025,6.514954021
1094,0.358,18.56851578,92,2707,,,,,0.066666667,0.331794996,0.146205166,6.839656837
1095,0.4045,18.34774017,96,2695,,,,,0.2,0.328880253,0.238664076,4.189972063
1098,0.3595,18.12720299,94,2667,,,,,0.133333333,0.322079184,0.189957088,5.264319134
1099,0.434,22.17507362,98,3243,,,,,0.266666667,0.461986884,0.325262732,3.074428233
1101,0.3945,12.49432564,90,1856,,,,,0,0.125091086,0.037527326,26.64653913
1104,0.413,16.37029648,90,2418,,,,,0,0.261598251,0.078479475,12.74202272
1106,0.4255,12.33148575,90,1830,,,,,0,0.118775808,0.035632742,28.06328878
1107,0.416,13.33069801,90,1989,,,,,0,0.157396162,0.047218849,21.17753504
1108,0.4025,16.90292358,90,2504,,,,,0,0.282487248,0.084746174,11.79980344
1112,0.428,15.16389847,90,2245,,,,,0,0.219577362,0.065873209,15.18044802
1115,0.4085,14.01185989,90,2079,,,,,0,0.17925674,0.053777022,18.59495684
1117,0.522,20.36714554,94,3001,,,,,0.133333333,0.403206218,0.214295199,4.666438349
1118,0.4005,17.12226868,92,2549,,,,,0.066666667,0.293417537,0.134691928,7.424294775
1122,0.527,17.82274246,100,2688,,,,,0.333333333,0.327179985,0.331487329,3.01669746
1123,0.42,16.57056808,90,2449,,,,,0,0.269128006,0.080738402,12.3855265
1125,0.362,27.69112587,98,4092,,,,,0.266666667,0.668205004,0.387128168,2.583117169
1128,0.385,17.55023003,90,2556,,,,,0,0.295117804,0.088535341,11.29479698
1129,0.3745,20.80583572,94,3072,,,,,0.133333333,0.420451785,0.219468869,4.556434124
1130,0.4015,12.48931885,90,1862,,,,,0,0.126548458,0.037964537,26.33967728
1132,0.449,18.46027374,100,2689,,,,,0.333333333,0.327422881,0.331560198,3.016034468
1133,0.384,18.23711395,90,2665,,,,,0,0.321593393,0.096478018,10.36494795
1134,0.425,13.97871971,92,2102,,,,,0.066666667,0.184843333,0.102119666,9.792337193
1136,0.366,15.86556435,90,2346,,,,,0,0.244109789,0.073232937,13.65487159
1139,0.3995,16.51215553,90,2457,,,,,0,0.271071168,0.08132135,12.29674246
1140,0.3825,16.87121391,92,2497,,,,,0.066666667,0.280786981,0.130902761,7.639199921
1142,0.4225,19.7250843,94,2899,,,,,0.133333333,0.378430896,0.206862602,4.834103193
1144,0.399,15.06733894,96,2119,,,,,0.2,0.188972553,0.196691766,5.084071067
1145,0.4655,14.87708092,92,2211,,,,,0.066666667,0.211318922,0.110062343,9.085677134
1146,0.4305,14.31632042,102,2124,,,,,0.4,0.190187029,0.337056109,2.96685628
1147,0.443,15.45596123,92,2275,,,,,0.066666667,0.226864222,0.114725933,8.716349098
1148,0.3405,22.83382416,96,3306,,,,,0.2,0.477289288,0.283186786,3.531225737
1153,0.433,14.69421387,96,2200,,,,,0.2,0.208647073,0.202594122,4.935953001
1155,0.4045,14.22119141,92,2101,,,,,0.066666667,0.184600437,0.102046798,9.799329542
1157,0.424,15.72108269,92,2335,,,,,0.066666667,0.24143794,0.119098049,8.396372688
1158,0.4465,15.21372795,92,2250,,,,,0.066666667,0.220791839,0.112904218,8.856986552
1160,0.463,17.21835136,94,2563,,,,,0.133333333,0.296818071,0.182378755,5.483064726
1161,0.433,12.94660568,90,1932,,,,,0,0.143551129,0.043065339,23.21999099
1164,0.3755,15.92636108,90,2375,,,,,0,0.251153753,0.075346126,13.27190638
1168,0.389,16.85905457,90,2503,,,,,0,0.282244353,0.084673306,11.80995806
1169,0.41,15.50078392,90,2312,,,,,0,0.235851348,0.070755404,14.13299627
1170,0.401,36.69071198,120,5458,,,,,1,1,1,0.999999
1172,0.5355,13.04244995,94,1946,,,,,0.133333333,0.146951664,0.137418832,7.276970012
1173,0.414,16.65687561,90,2480,,,,,0,0.276657761,0.082997328,12.04843546
1175,0.4035,17.6961422,92,2607,,,,,0.066666667,0.307505465,0.138918306,7.198423511
1176,0.432,16.50762558,92,2413,,,,,0.066666667,0.260383775,0.124781799,8.013925057
1177,0.4085,24.4884491,96,3586,,,,,0.2,0.545299976,0.303589993,3.293905366
1178,0.3885,18.20993423,94,2655,,,,,0.133333333,0.31916444,0.189082665,5.288664137
1179,0.4835,14.43147659,96,2117,,,,,0.2,0.188486762,0.196546029,5.087840843
1181,0.3895,14.04309273,94,2079,,,,,0.133333333,0.17925674,0.147110355,6.797571792
1184,0.441,14.32943344,90,2163,,,,,0,0.199659947,0.059897984,16.694774
1185,0.4165,14.35017586,92,2156,,,,,0.066666667,0.197959679,0.10605457,9.429019103
1186,0.4705,13.43417168,90,1983,,,,,0,0.15593879,0.046781637,21.3754517
